# Location: Anchorage Area
# Demographic and health data for individual neighborhoods of Anchorage.
variable,Government Hill,West Mountain View/Ship Creek,East Mountain View,Ptarmigan Area,Northwest Muldoon,Northeast Muldoon,Wonder Park,Russian Jack,Merrill Field Vicinity,Chester Creek,West Fairview,Downtown Anchorage Core,Bootleggers Cove/Westchester,Turnagain,South Fireweed,North Fireweed,Rogers Park/Tudor Area,Airport Heights,University Area,Baxter,Cheney Lake,Muldoon,Scenic Foothills,Campbell Park West,Campbell Park East,Midtown,Spenard,Woodland Park/Spenard,Lake Spenard,East Turnagain/Fish Creek,Airport/Kincaid,Connors Lake,Jewel Lake/Birch Lake,Dimond/Northwood,Northwood,Arctic,Taku/Campbell,Abbott Loop West,Abbott Loop North,Abbott Loop,Campbell Lake/Bayshore,Dimond/Southport,Oceanview,Klatt,Independence Park,Lower Hillside,Hillside East,Huffman,Rabbit Creek,Rabbit Creek/Bear Valley,Science Center/Bicentennial Park,description,source
comment,"Data represent information from nearest census tract (Census Tract 5), which includes Government Hill.","Data represent information from nearest census tract (Census Tract 6.01), which includes West Mountain View/Ship Creek.","Data represent information from nearest census tract (Census Tract 6.02), which includes East Mountain View.","Data represent information from nearest census tract (Census Tract 7.01), which includes Ptarmigan Area.","Data represent information from nearest census tract (Census Tract 7.02), which includes Northwest Muldoon.","Data represent information from nearest census tract (Census Tract 7.03), which includes Northeast Muldoon.","Data represent information from nearest census tract (Census Tract 8.01), which includes Wonder Park.","Data represent information from nearest census tract (Census Tract 8.02), which includes Russian Jack.","Data represent information from nearest census tract (Census Tract 9.01), which includes Merrill Field Vicinity.","Data represent information from nearest census tract (Census Tract 9.02), which includes Chester Creek.","Data represent information from nearest census tract (Census Tract 10), which includes West Fairview.","Data represent information from nearest census tract (Census Tract 11), which includes Downtown Anchorage Core.","Data represent information from nearest census tract (Census Tract 12), which includes Bootleggers Cove/Westchester.","Data represent information from nearest census tract (Census Tract 13), which includes Turnagain.","Data represent information from nearest census tract (Census Tract 14.01), which includes South Fireweed.","Data represent information from nearest census tract (Census Tract 14.02), which includes North Fireweed.","Data represent information from nearest census tract (Census Tract 15), which includes Rogers Park/Tudor Area.","Data represent information from nearest census tract (Census Tract 16.01), which includes Airport Heights.","Data represent information from nearest census tract (Census Tract 16.02), which includes University Area.","Data represent information from nearest census tract (Census Tract 17.01), which includes Baxter.","Data represent information from nearest census tract (Census Tract 17.02), which includes Cheney Lake.","Data represent information from nearest census tract (Census Tract 17.31), which includes Muldoon.","Data represent information from nearest census tract (Census Tract 17.32), which includes Scenic Foothills.","Data represent information from nearest census tract (Census Tract 18.01), which includes Campbell Park West.","Data represent information from nearest census tract (Census Tract 18.02), which includes Campbell Park East.","Data represent information from nearest census tract (Census Tract 19), which includes Midtown.","Data represent information from nearest census tract (Census Tract 20), which includes Spenard.","Data represent information from nearest census tract (Census Tract 21), which includes Woodland Park/Spenard.","Data represent information from nearest census tract (Census Tract 22.01), which includes Lake Spenard.","Data represent information from nearest census tract (Census Tract 22.02), which includes East Turnagain/Fish Creek.","Data represent information from nearest census tract (Census Tract 23.01), which includes Airport/Kincaid.","Data represent information from nearest census tract (Census Tract 23.02), which includes Connors Lake.","Data represent information from nearest census tract (Census Tract 23.04), which includes Jewel Lake/Birch Lake.","Data represent information from nearest census tract (Census Tract 23.05), which includes Dimond/Northwood.","Data represent information from nearest census tract (Census Tract 24), which includes Northwood.","Data represent information from nearest census tract (Census Tract 25.01), which includes Arctic.","Data represent information from nearest census tract (Census Tract 25.02), which includes Taku/Campbell.","Data represent information from nearest census tract (Census Tract 26.01), which includes Abbott Loop West.","Data represent information from nearest census tract (Census Tract 26.02), which includes Abbott Loop North.","Data represent information from nearest census tract (Census Tract 26.03), which includes Abbott Loop.","Data represent information from nearest census tract (Census Tract 27.11), which includes Campbell Lake/Bayshore.","Data represent information from nearest census tract (Census Tract 27.12), which includes Dimond/Southport.","Data represent information from nearest census tract (Census Tract 27.13), which includes Oceanview.","Data represent information from nearest census tract (Census Tract 27.14), which includes Klatt.","Data represent information from nearest census tract (Census Tract 28.11), which includes Independence Park.","Data represent information from nearest census tract (Census Tract 28.12), which includes Lower Hillside.","Data represent information from nearest census tract (Census Tract 28.13), which includes Hillside East.","Data represent information from nearest census tract (Census Tract 28.21), which includes Huffman.","Data represent information from nearest census tract (Census Tract 28.22), which includes Rabbit Creek.","Data represent information from nearest census tract (Census Tract 28.23), which includes Rabbit Creek/Bear Valley.","Data represent information from nearest census tract (Census Tract 9800), which includes Science Center/Bicentennial Park.",,
total_population,2124.0,4328.0,2716.0,6986.0,5435.0,5555.0,6814.0,4759.0,5090.0,3158.0,3942.0,1657.0,3749.0,3227.0,2928.0,2168.0,5165.0,3824.0,4191.0,6824.0,4940.0,6119.0,6111.0,4372.0,5379.0,3873.0,3315.0,3686.0,4742.0,2931.0,7653.0,4641.0,6312.0,2647.0,3039.0,4928.0,4947.0,5035.0,5746.0,6434.0,6817.0,9027.0,4903.0,4593.0,6519.0,8359.0,4796.0,5080.0,4135.0,5720.0,5.0,total_population is the total population of the community,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_under_5,6.36,8.78,10.01,8.56,7.73,7.78,7.65,6.6,7.41,6.43,4.01,2.41,3.89,5.08,5.5,5.44,5.0,6.2,5.68,6.84,5.87,6.54,7.27,5.54,5.73,6.07,5.58,4.83,6.71,5.49,5.59,5.99,7.15,7.74,4.97,6.45,6.69,6.95,6.25,6.33,5.72,6.82,5.91,5.83,6.12,4.93,4.27,5.61,4.55,4.84,0.0,pct_under_5 is the percentage of the population under age 5; this value was calculated by summing the population count of multiple sex by age categories and expressing that sum as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_under_18,20.9,28.6,31.3,26.15,27.34,26.95,27.31,23.28,26.4,22.48,13.09,6.76,13.07,20.92,14.89,21.03,18.41,19.04,21.14,23.09,20.89,25.61,24.86,18.94,21.12,18.23,20.75,17.47,22.4,19.04,23.35,23.59,25.6,26.67,18.62,21.55,20.21,23.87,24.21,23.86,24.28,24.95,23.88,24.25,23.24,26.55,21.62,27.95,21.57,23.99,0.0,pct_under_18 is the percentage of the population under age 18; this value was calculated by summing the population count of multiple sex by age categories and expressing that sum as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_65_plus,11.53,8.27,8.91,9.98,8.72,12.64,10.74,9.33,7.11,19.0,12.02,9.35,25.15,22.93,12.36,11.58,21.05,14.83,13.67,14.43,16.54,15.25,12.57,11.32,10.37,11.05,12.82,12.29,14.23,14.3,14.23,11.57,11.09,8.16,15.07,13.9,11.1,8.98,10.04,11.24,15.02,11.79,15.01,12.67,10.2,13.59,19.95,14.53,19.52,15.19,40.0,pct_65_plus is the percentage of the population age 65 and older; this value was calculated by summing the population count of multiple sex by age categories and expressing that sum as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_hispanic_latino,10.55,13.84,12.41,11.95,9.71,10.8,12.11,12.75,13.85,13.65,8.8,7.97,4.43,5.42,9.84,10.24,5.65,7.4,7.8,8.02,7.02,8.3,8.64,9.95,11.54,11.64,12.88,6.92,6.58,10.13,5.91,7.76,7.41,10.8,6.98,11.32,9.02,9.83,9.95,8.11,6.13,15.04,7.61,6.77,12.2,5.62,4.25,6.83,3.68,5.33,0.0,pct_hispanic_latino is the percentage of the population that is Hispanic or Latino; this value was calculated by taking the population count of Hispanics or Latinos and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_white,46.23,24.45,19.88,36.29,36.41,32.37,30.55,35.45,23.42,37.02,47.08,48.7,78.26,77.35,48.09,39.25,64.12,53.22,51.99,52.2,57.21,41.49,51.37,49.36,38.58,35.04,36.47,52.55,54.49,52.75,63.33,53.26,50.92,42.39,54.16,52.09,50.31,39.64,50.28,54.45,63.94,42.87,68.37,62.16,44.96,68.25,81.15,71.28,82.06,78.11,20.0,pct_white is the percentage of the population that is White; this value was calculated by taking the population count of Whites and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_african_american,6.45,11.23,14.1,9.81,11.63,7.83,7.0,7.23,9.69,12.16,7.58,7.66,1.52,1.02,5.19,10.19,3.56,6.09,5.39,7.44,5.89,7.58,7.07,4.23,4.91,7.07,5.16,4.15,2.51,2.46,2.2,2.26,2.82,4.61,3.22,3.51,4.77,5.0,3.12,2.63,2.11,3.23,1.84,2.66,4.1,2.93,0.75,1.59,1.04,0.84,0.0,pct_african_american is the percentage of the population that is African American; this value was calculated by taking the population count of African Americans and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_amer_indian_ak_native,8.19,15.57,11.05,9.66,9.7,12.48,11.95,11.09,18.86,7.54,14.08,19.92,3.79,2.42,11.17,9.13,6.49,7.22,14.03,8.22,7.11,12.16,6.86,9.77,10.45,11.83,13.45,9.66,7.02,9.96,5.29,9.74,9.82,7.74,8.95,7.83,7.84,9.18,7.92,9.0,4.24,8.59,5.32,6.36,10.29,3.8,2.86,4.57,2.95,2.71,20.0,pct_amer_indian_ak_native is the percentage of the population that is American Indian or Alaska Native; this value was calculated by taking the population count of American Indians or Alaska Natives and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
pct_asian,8.47,9.03,11.12,12.18,12.49,19.62,15.88,15.99,12.44,10.64,6.8,4.59,3.44,3.41,9.49,11.44,6.83,10.28,5.97,8.21,7.06,12.14,8.2,11.44,17.79,17.97,14.87,9.55,16.41,9.62,11.29,7.82,11.55,16.77,12.5,9.19,10.27,18.71,13.99,11.39,9.86,17.29,4.63,8.34,14.56,7.79,2.21,4.29,1.35,4.46,20.0,pct_asian is the percentage of the population that is Asian; this value was calculated by taking the population count of Asians and expressing that count as a percentage of the total population,U.S. Census Demographic and Housing Characteristics Survey for 2020
